Artist,acquired_work_count,percent,Nat_clean,gender_group
Eugène Atget,4990,0.4099572790009859,French,Male
Edward Steichen,235,0.019306605323693722,American,Male
Unidentified photographer,228,0.018731514952349655,n/a,Other
Eadweard J. Muybridge,203,0.016677620768977983,American,Male
Alfred Capel Cure,180,0.014788038120276044,British,Male
Lee Friedlander,179,0.014705882352941176,American,Male
William Eggleston,172,0.014130791981597108,American,Male
Walker Evans,168,0.013802168912257641,American,Male
Ansel Adams,140,0.011501807426881366,American,Male
Francis Frith,125,0.010269470916858363,British,Male
Man Ray (Emmanuel Radnitzky),121,0.009940847847518896,American,Male
Edward Weston,107,0.008790667104830759,American,Male
Aaron Siskind,103,0.00846204403549129,American,Male
Paul Strand,89,0.007311863292803155,American,Male
Harry Callahan,79,0.006490305619454486,American,Male
Wayne Miller,79,0.006490305619454486,American,Male
Alfred Stieglitz,73,0.005997371015445284,American,Male
Thomas Roma,69,0.005668747946105817,American,Male
Berenice Abbott,69,0.005668747946105817,American,Female
Dorothea Lange,67,0.005504436411436083,American,Female
Henri Cartier-Bresson,65,0.005340124876766349,French,Male
Nicholas Nixon,62,0.005093657574761748,American,Male
Rudy Burckhardt,60,0.004929346040092014,American,Male
Jan Groover,52,0.004272099901413079,American,Female
Thomas Annan,51,0.004189944134078212,British,Male
Clarence H. White,50,0.004107788366743345,American,Male
Brassaï (Gyula Halász),46,0.0037791652974038777,French,Male
Lucas Samaras,46,0.0037791652974038777,American,Male
Brett Weston,45,0.003697009530069011,American,Male
Mathew B. Brady (studio of),45,0.003697009530069011,American,Male
Eugene Buechel,42,0.0034505422280644103,American,Male
Jacques-Henri Lartigue,42,0.0034505422280644103,French,Male
Robert Heinecken,41,0.003368386460729543,American,Male
Helen Levitt,41,0.003368386460729543,American,Female
Clarence Kennedy,37,0.0030397633913900757,American,Male
William Klein,37,0.0030397633913900757,American,Male
Margaret Bourke-White,34,0.002793296089385475,American,Female
Ernest J. Bellocq,33,0.002711140322050608,American,Male
Melissa Shook,33,0.002711140322050608,American,Female
Imogen Cunningham,32,0.0026289845547157412,American,Female
Bill Brandt,30,0.002464673020046007,British,Male
George Platt Lynes,30,0.002464673020046007,American,Male
Johann Hahn,30,0.002464673020046007,German,Male
