Index,Medium,Count
0,Albumen silver print,4289
1,Gelatin silver print,3887
2,Gelatin silver printing-out-paper print,685
3,Matte albumen silver print,461
4,Chromogenic print,383
5,Platinum print,155
6,Photogravure,134
7,Albumen silver print from a paper negative,123
8,Dye transfer print,87
9,Albumen silver print from a glass negative,75
10,"Gelatin silver print, printed 1982",69
11,Collotype,64
12,Albumen silver print from a wet-collodion glass negative,63
13,"Gelatin silver print, printed 1980",60
14,Salted paper print,41
15,Silver dye bleach print,39
16,"Gelatin silver print, printed 1978",36
17,Palladium print,33
18,Daguerreotype,31
19,"Gelatin silver printing-out-paper print, printed 1966-69",30
20,Platinum/palladium print in bound volume,30
21,Gelatin silver prints,29
22,Photograph,28
23,Albumen silver print (carte-de-visite),28
24,"Gelatin silver print, printed 1965",27
25,Salted paper print from a paper negative,26
26,Albumen silver print (gold-toned),26
27,Lithograph,26
28,"Gelatin silver print, printed 1968",25
29,Salted paper print from a glass negative,25
30,Autotype,25
31,Microfilm reader-printer machine print,25
32,"Gelatin silver print, printed 1947",22
33,"Gelatin silver print, printed 1990",18
34,Gravure,18
35,"Gelatin silver print, printed 1957",17
36,Gum bichromate print,16
37,Glass transparency,15
38,"Gelatin silver print, printed 1940 from dry plate by Berenice Abbott",15
39,Carbon print,15
40,"Gelatin silver print, printed 1979",14
41,"Gelatin silver print (""Parmelian print"")",14
42,Color instant print (Polaroid),13
43,Platinum/palladium print,13
44,Chromogenic color prints,13
45,"Dye transfer print, printed 1986",13
46,Color instant print (Polacolor II),13
47,"Gelatin silver print, printed later",12
48,"Gelatin silver print, printed 1986",12
49,Gelatin silver print after rayograph,12
50,"Gelatin silver print, printed c. 1970 by James Dow",12
51,"Gelatin silver print, printed 1952",12
52,Two gelatin silver prints,12
53,Collodion silver print,11
54,Three black-and-white instant prints (Polaroid),11
55,Albumen silver print (carte de visite),9
56,"Gelatin silver print, printed 1969",9
57,Albumen silver prints,9
58,Bromoil print,9
59,Albumen silver print from a glass-plate negative,9
60,Lithograph (off-set),9
61,Gelatin silver print (solarized),9
62,"Gelatin silver print, printed by Neil Selkirk",9
63,"Gelatin silver print, printed 1976",9
64,Salted paper print from a waxed-paper negative,8
65,Gelatin silver print (photogram),8
66,"Gelatin silver print, printed 1976-78",8
67,Woodburytype,8
68,"Gelatin silver print, printed 1941",7
69,Pigment print,7
70,"Gelatin silver print, printed 1963",7
71,Calotype,7
72,Three gelatin silver prints,7
73,"Gelatin silver print, printed 1989",7
74,Gelatin silver print from a dry plate negative,6
75,"Gelatin silver print, printed 1974",6
76,Gelatin silver print (selenium-toned),6
77,"Gelatin silver print, printed c. 1970",6
78,"Gelatin silver print, printed 1961",6
79,Color instant print (Polaroid SX-70),6
80,"Gelatin silver print, printed 1991",5
81,"Gelatin silver print, printed 1993",5
82,"Chromogenic print, printed 1982",5
83,"Gelatin silver print, printed 1996",5
84,"Gelatin silver print, printed c. 1981",5
85,"Gelatin silver print, printed 1942",5
86,Collotypes,5
87,Gelatin silver print (toned),5
88,Autochrome,5
89,"Gelatin silver print, printed 1988",5
90,Letterpress halftone,5
91,Color instant print (Polacolor ER),5
92,"Gelatin silver print, printed 1940",5
93,Four gelatin silver prints,5
94,"Gelatin silver print, printed 1971",5
95,Silver dye bleach,5
96,Matte gelatin silver printing-out-paper print,5
97,"Gelatin silver print, printed 1930s",4
98,Six gelatin silver prints,4
99,Physionotrace engraving,4
100,Gelatin silver print (chloride) from a glass negative,4
101,"Calotype, printed 1937",4
102,Instant print (Polaroid),4
103,Gelatin silver print (selenium toned),4
104,Salted paper print from a wet-collodion glass negative,4
