index,year_acquired,count,is_photog,is_not_photog,percent_photog,5_year_artwork_sum,5_year_photog_artwork_sum,5_year_non_photog_artwork_sum,5_year_percent_photog
0,1929,9,0,9,0.0,0,0,0,0
1,1930,7,0,7,0.0,0,0,0,0
2,1931,3,0,3,0.0,0,0,0,0
3,1932,18,1,17,0.05555555555555555,0,0,0,0
4,1933,93,91,2,0.978494623655914,130.0,92.0,38.0,0.7076923076923077
5,1934,256,2,254,0.0078125,377.0,94.0,283.0,0.2493368700265252
6,1935,415,24,391,0.05783132530120482,785.0,118.0,667.0,0.1503184713375796
7,1936,147,0,147,0.0,929.0,118.0,811.0,0.12701829924650163
8,1937,323,57,266,0.17647058823529413,1234.0,174.0,1060.0,0.14100486223662884
9,1938,124,84,40,0.6774193548387096,1265.0,167.0,1098.0,0.13201581027667983
10,1939,399,51,348,0.12781954887218044,1408.0,216.0,1192.0,0.1534090909090909
11,1940,1524,125,1399,0.08202099737532809,2517.0,317.0,2200.0,0.12594358363130712
12,1941,976,651,325,0.6670081967213115,3346.0,968.0,2378.0,0.2893006575014943
13,1942,933,218,715,0.23365487674169347,3956.0,1129.0,2827.0,0.28538928210313447
14,1943,1131,128,1003,0.11317418213969938,4963.0,1173.0,3790.0,0.23634898247028008
15,1944,345,113,232,0.32753623188405795,4909.0,1235.0,3674.0,0.2515787329394989
16,1945,290,0,290,0.0,3675.0,1110.0,2565.0,0.3020408163265306
17,1946,171,32,139,0.1871345029239766,2870.0,491.0,2379.0,0.1710801393728223
18,1947,448,36,412,0.08035714285714286,2385.0,309.0,2076.0,0.12955974842767295
19,1948,421,1,420,0.0023752969121140144,1675.0,182.0,1493.0,0.10865671641791044
20,1949,1582,0,1582,0.0,2912.0,69.0,2843.0,0.023695054945054944
21,1950,453,92,361,0.20309050772626933,3075.0,161.0,2914.0,0.052357723577235775
22,1951,631,0,631,0.0,3535.0,129.0,3406.0,0.036492220650636495
23,1952,548,16,532,0.029197080291970802,3635.0,109.0,3526.0,0.029986244841815682
24,1953,474,51,423,0.10759493670886076,3688.0,159.0,3529.0,0.04311279826464208
25,1954,881,43,838,0.04880817253121453,2987.0,202.0,2785.0,0.06762638098426516
26,1955,443,4,439,0.009029345372460496,2977.0,114.0,2863.0,0.03829358414511253
27,1956,1127,65,1062,0.05767524401064774,3473.0,179.0,3294.0,0.051540454938093866
28,1957,305,26,279,0.08524590163934426,3230.0,189.0,3041.0,0.05851393188854489
29,1958,703,0,703,0.0,3459.0,138.0,3321.0,0.0398959236773634
30,1959,831,450,381,0.5415162454873647,3409.0,545.0,2864.0,0.15987092989146376
31,1960,450,104,346,0.2311111111111111,3416.0,645.0,2771.0,0.18881733021077282
32,1961,553,160,393,0.28933092224231466,2842.0,740.0,2102.0,0.2603800140745954
33,1962,565,155,410,0.2743362831858407,3102.0,869.0,2233.0,0.2801418439716312
34,1963,951,127,824,0.13354363827549948,3350.0,996.0,2354.0,0.2973134328358209
35,1964,12828,576,12252,0.04490177736202058,15347.0,1122.0,14225.0,0.07310875089594057
36,1965,2019,351,1668,0.1738484398216939,16916.0,1369.0,15547.0,0.08092929770631355
37,1966,1851,169,1682,0.09130199891950297,18214.0,1378.0,16836.0,0.07565608872296035
38,1967,2411,337,2074,0.13977602654500207,20060.0,1560.0,18500.0,0.07776669990029911
39,1968,6894,5479,1415,0.794749057151146,26003.0,6912.0,19091.0,0.2658154828289044
40,1969,2194,304,1890,0.13855970829535097,15369.0,6640.0,8729.0,0.43203851909688334
41,1970,1234,267,967,0.21636952998379255,14584.0,6556.0,8028.0,0.44953373560065824
42,1971,1041,505,536,0.4851104707012488,13774.0,6892.0,6882.0,0.500363002758821
43,1972,862,282,580,0.3271461716937355,12225.0,6837.0,5388.0,0.5592638036809816
44,1973,1089,261,828,0.2396694214876033,6420.0,1619.0,4801.0,0.25218068535825544
45,1974,3371,580,2791,0.17205576980124593,7597.0,1895.0,5702.0,0.24944056864551797
46,1975,981,298,683,0.3037716615698267,7344.0,1926.0,5418.0,0.2622549019607843
47,1976,902,359,543,0.39800443458980045,7205.0,1780.0,5425.0,0.24705065926439973
48,1977,1208,297,911,0.2458609271523179,7551.0,1795.0,5756.0,0.2377168586942127
49,1978,1348,238,1110,0.17655786350148367,7810.0,1772.0,6038.0,0.2268886043533931
50,1979,1160,263,897,0.2267241379310345,5599.0,1455.0,4144.0,0.2598678335417039
51,1980,672,194,478,0.28869047619047616,5290.0,1351.0,3939.0,0.2553875236294896
52,1981,1347,700,647,0.5196733481811433,5735.0,1692.0,4043.0,0.2950305143853531
53,1982,851,301,550,0.3537015276145711,5378.0,1696.0,3682.0,0.3153588694682038
54,1983,1194,414,780,0.34673366834170855,5224.0,1872.0,3352.0,0.35834609494640124
55,1984,870,288,582,0.3310344827586207,4934.0,1897.0,3037.0,0.38447507093635996
56,1985,1045,170,875,0.16267942583732056,5307.0,1873.0,3434.0,0.35293009233088374
57,1986,1024,309,715,0.3017578125,4984.0,1482.0,3502.0,0.29735152487961475
58,1987,1317,295,1022,0.22399392558845863,5450.0,1476.0,3974.0,0.2708256880733945
59,1988,1019,176,843,0.17271835132482827,5275.0,1238.0,4037.0,0.23469194312796207
60,1989,890,391,499,0.4393258426966292,5295.0,1341.0,3954.0,0.25325779036827195
61,1990,1268,253,1015,0.1995268138801262,5518.0,1424.0,4094.0,0.25806451612903225
62,1991,822,193,629,0.23479318734793186,5316.0,1308.0,4008.0,0.24604966139954854
63,1992,1194,323,871,0.2705192629815745,5193.0,1336.0,3857.0,0.2572694011168881
64,1993,1243,242,1001,0.19469026548672566,5417.0,1402.0,4015.0,0.25881484216355916
65,1994,944,335,609,0.3548728813559322,5471.0,1346.0,4125.0,0.24602449278011332
66,1995,968,573,395,0.5919421487603306,5171.0,1666.0,3505.0,0.3221813962483079
67,1996,972,196,776,0.20164609053497942,5321.0,1669.0,3652.0,0.31366284532982525
68,1997,950,180,770,0.18947368421052632,5077.0,1526.0,3551.0,0.30057120346661415
69,1998,1278,576,702,0.4507042253521127,5112.0,1860.0,3252.0,0.36384976525821594
70,1999,1807,164,1643,0.09075816270060874,5975.0,1689.0,4286.0,0.28267782426778243
71,2000,1886,904,982,0.47932131495228,6893.0,2020.0,4873.0,0.2930509212244306
72,2001,4170,1020,3150,0.2446043165467626,10091.0,2844.0,7247.0,0.28183529878109204
73,2002,635,110,525,0.1732283464566929,9776.0,2774.0,7002.0,0.28375613747954176
74,2003,547,126,421,0.2303473491773309,9045.0,2324.0,6721.0,0.2569375345494748
75,2004,763,136,627,0.1782437745740498,8001.0,2296.0,5705.0,0.2869641294838145
76,2005,4067,343,3724,0.08433734939759036,10182.0,1735.0,8447.0,0.17039874287959145
77,2006,1665,336,1329,0.2018018018018018,7677.0,1051.0,6626.0,0.1369024358473362
78,2007,2348,498,1850,0.2120954003407155,9390.0,1439.0,7951.0,0.15324813631522896
79,2008,7204,799,6405,0.1109106052193226,16047.0,2112.0,13935.0,0.13161338567956626
80,2009,1530,389,1141,0.2542483660130719,16814.0,2365.0,14449.0,0.14065659569406447
81,2010,2046,664,1382,0.32453567937438904,14793.0,2686.0,12107.0,0.1815723653079159
