year_acquired,non_photography_artist,photogrpahy_artist
1929,6.0,0.0
1930,6.0,0.0
1931,3.0,0.0
1932,8.0,1.0
1933,2.0,1.0
1934,61.0,1.0
1935,66.0,2.0
1936,64.0,0.0
1937,144.0,6.0
1938,26.0,24.0
1939,79.0,6.0
1940,262.0,13.0
1941,100.0,119.0
1942,179.0,31.0
1943,192.0,25.0
1944,94.0,40.0
1945,89.0,0.0
1946,36.0,9.0
1947,148.0,4.0
1948,149.0,1.0
1949,270.0,0.0
1950,161.0,2.0
1951,174.0,0.0
1952,176.0,2.0
1953,200.0,3.0
1954,298.0,24.0
1955,163.0,2.0
1956,315.0,4.0
1957,148.0,1.0
1958,329.0,0.0
1959,148.0,175.0
1960,169.0,52.0
1961,231.0,19.0
1962,142.0,23.0
1963,293.0,14.0
1964,545.0,111.0
1965,361.0,55.0
1966,286.0,40.0
1967,536.0,42.0
1968,374.0,77.0
1969,397.0,45.0
1970,223.0,50.0
1971,154.0,53.0
1972,136.0,45.0
1973,205.0,56.0
1974,297.0,63.0
1975,162.0,59.0
1976,213.0,70.0
1977,326.0,70.0
1978,272.0,66.0
1979,278.0,72.0
1980,209.0,49.0
1981,250.0,86.0
1982,187.0,105.0
1983,286.0,92.0
1984,246.0,71.0
1985,353.0,62.0
1986,260.0,89.0
1987,375.0,74.0
1988,247.0,72.0
1989,159.0,95.0
1990,233.0,64.0
1991,192.0,72.0
1992,226.0,122.0
1993,211.0,74.0
1994,214.0,96.0
1995,182.0,40.0
1996,225.0,49.0
1997,259.0,68.0
1998,357.0,65.0
1999,261.0,40.0
2000,299.0,21.0
2001,723.0,300.0
2002,161.0,32.0
2003,180.0,19.0
2004,223.0,39.0
2005,887.0,36.0
2006,670.0,44.0
2007,367.0,49.0
2008,604.0,164.0
2009,205.0,74.0
2010,331.0,49.0
2011,301.0,65.0
2012,321.0,54.0
2013,506.0,106.0
2014,379.0,65.0
2015,656.0,71.0
2016,307.0,86.0
2017,242.0,91.0
2018,553.0,90.0
2019,136.0,69.0
2020,118.0,51.0
2021,121.0,102.0
2022,84.0,45.0
